Site Name,Site ID,Link Type,Location Type,Title,Link,URL,PDF Size (bytes),Page Count,Text-based,Has Title,Language Set,Tagged,Notes
College of Urban Planning and Public Affairs,6,Box,Profile (ACF Field),"Malveaux, Symphony (Field: cv_link)",https://uofi.box.com/s/coxoeunrasep2oil29yjm4ybswcpdnzx,https://cuppa.uic.edu/profiles/malveaux-symphony/,,,,,,,Skipped: Not a PDF link
College of Urban Planning and Public Affairs,6,Box,News (ACF Field),New Report From the Voorhees Center Highlights the Firms Leading Chicago&#8217;s Green Economy (Field: intro_text_body),https://uofi.app.box.com/s/7imo9iczanhjkybyb9zzpmjlaw5q0kih,https://cuppa.uic.edu/news-stories/new-report-from-the-voorhees-center-highlights-the-firms-leading-chicagos-green-economy/,,,,,,,Skipped: Not a PDF link
College of Urban Planning and Public Affairs,6,Box,News (ACF Field),New Report from the Voorhees Center Explores Chicago&#8217;s Food Ecosystem (Field: intro_text_body),https://uofi.app.box.com/s/9j78bs2ef5uw3u324ydfj3iwqn0tkz39,https://cuppa.uic.edu/news-stories/new-report-from-the-voorhees-center-explores-chicagos-food-ecosystem/,,,,,,,Skipped: Not a PDF link
College of Urban Planning and Public Affairs,6,Box,Profile (ACF Field),"Urcuqui-Bustamante, Andrés M. (Field: cv_link)",https://uofi.box.com/s/f787zpnuwfig9zf1bf58e0xssvxm54n8,https://cuppa.uic.edu/profiles/urcuqui-bustamante-andres/,,,,,,,Skipped: Not a PDF link
College of Urban Planning and Public Affairs,6,Box,Event (ACF Field),UTC Seminar Series: &#8220;Chicago’s Maritime Outlook: High Water Mark at IIPD and Riverfront&#8221; (Field: description),https://uofi.app.box.com/s/9g6rdnytixxydokotwytblaqkz6qh8z6,https://cuppa.uic.edu/events/utc-seminar-series-chicagos-maritime-outlook-high-water-mark-at-iipd-and-riverfront/,,,,,,,Skipped: Not a PDF link
College of Urban Planning and Public Affairs,6,Box,News (ACF Field),The Government Finance Research Center&#8217;s Newsletter Released (Field: intro_text_body),https://uofi.app.box.com/s/06gwttwkxy3fs0dml2gfe0r5u4ybb5do,https://cuppa.uic.edu/news-stories/the-government-finance-research-centers-newsletter-released/,,,,,,,Skipped: Not a PDF link
College of Urban Planning and Public Affairs,6,Box,News (ACF Field),Report by Prof. April Jackson (UPP) &amp; Dr. Amy Khare (NIMC) Highlights Work of POAH in Woodlawn (Field: intro_text_body),https://nam04.safelinks.protection.outlook.com/?url=https%3A%2F%2Fapp.box.com%2Fs%2F4o3yb2ctzjuqsx0oh10i7fpjyhywpm96&amp;data=04%7C01%7Chsande4%40groute.uic.edu%7C80af8e82d6004f098d5b08da02b1c813%7Ce202cd477a564baa99e3e3b71a7c77dd%7C0%7C0%7C637825259828648205%7CUnknown%7CTWFpbGZsb3d8eyJWIjoiMC4wLjAwMDAiLCJQIjoiV2luMzIiLCJBTiI6Ik1haWwiLCJXVCI6Mn0%3D%7C3000&amp;sdata=5j0uZCvrmkeT1KEA85XTI1JtF9ICSmGyZVnRftxEmeU%3D&amp;reserved=0,https://cuppa.uic.edu/news-stories/report-by-prof-april-jackson-upp-dr-amy-khare-nimc-highlights-work-of-poah-in-woodlawn/,,,,,,,Skipped: Not a PDF link
College of Urban Planning and Public Affairs,6,Box,Event (ACF Field),Public Policy Alumni Panel (Field: description),https://uofi.box.com/s/ethix8l6kpnssz4n9xa6l7gfn96q4qvs,https://cuppa.uic.edu/events/public-policy-alumni-panel-2/,,,,,,,Skipped: Not a PDF link
College of Urban Planning and Public Affairs,6,Box,News (ACF Field),Seeking Alumni for Job Shadow Series (Field: intro_text_body),https://uofi.box.com/s/vwf0t3m752jg2d1mustj9fts979gpyv0,https://cuppa.uic.edu/news-stories/seeking-alumni-for-job-shadow-series/,,,,,,,Skipped: Not a PDF link
College of Urban Planning and Public Affairs,6,Box,News (ACF Field),Needed:  Alumni Mentors and Student Mentees (Field: intro_text_body),https://uofi.box.com/s/3i01ocled2jm08zhcwdcq44ru245hs0i,https://cuppa.uic.edu/news-stories/needed-alumni-mentors-and-student-mentees/,,,,,,,Skipped: Not a PDF link
College of Urban Planning and Public Affairs,6,Box,Profile (ACF Field),"Jackson, April (Field: cv_link)",https://uofi.box.com/s/onagc7xceuzjmdg362flrx3t6wwjkszh,https://cuppa.uic.edu/profiles/jackson-april/,,,,,,,Skipped: Not a PDF link
College of Urban Planning and Public Affairs,6,Box,Profile (ACF Field),"Carroll, Deborah A. (Field: cv_link)",https://uofi.box.com/s/zdwlhidt9bfge2b92m5syxfeilp77zwi,https://cuppa.uic.edu/profiles/carroll-deborah/,,,,,,,Skipped: Not a PDF link
College of Urban Planning and Public Affairs,6,Box,Profile (ACF Field),"Kucia, Doug (Field: cv_link)",https://uofi.box.com/s/kddk2u3h23esvlgp2p2b7b8t5s7a3j4h,https://cuppa.uic.edu/profiles/kucia-doug/,,,,,,,Skipped: Not a PDF link
College of Urban Planning and Public Affairs,6,Box,Event (ACF Field),CUPPA Conversations for Change: Defunding The Police (Field: description),https://uofi.box.com/s/3w38dp6qsw930hjrufv9dp7moqki5nfz,https://cuppa.uic.edu/events/cuppa-conversations-for-change-defunding-the-police/,,,,,,,Skipped: Not a PDF link
College of Urban Planning and Public Affairs,6,Box,News (ACF Field),UTC Releases New Report On Maritime Freight Data Collection (Field: intro_text_body),https://nam04.safelinks.protection.outlook.com/?url=https%3A%2F%2Fuofi.app.box.com%2Fs%2Foilmpb0d04oh8atbwixec89ak6n3tonk&amp;data=04%7C01%7Cmbouff2%40gmail.uic.edu%7C47ecee85986040811e4108d8c9f56826%7Ce202cd477a564baa99e3e3b71a7c77dd%7C0%7C0%7C637481403129802809%7CUnknown%7CTWFpbGZsb3d8eyJWIjoiMC4wLjAwMDAiLCJQIjoiV2luMzIiLCJBTiI6Ik1haWwiLCJXVCI6Mn0%3D%7C1000&amp;sdata=17OSP5LYDAuVOsJVC%2FOIDg7JRio57QGYg5h5MbsIqgU%3D&amp;reserved=0,https://cuppa.uic.edu/news-stories/utc-releases-new-report-on-maritime-freight-data-collection/,,,,,,,Skipped: Not a PDF link
College of Urban Planning and Public Affairs,6,Box,News (ACF Field),UTC Releases New Report On Railroad Crossings In Two Chicago Suburbs (Field: intro_text_body),https://uofi.box.com/s/6v3hhq2mq9qp28n397mh22gg4m8u7096,https://cuppa.uic.edu/news-stories/utc-releases-new-report-on-railroad-crossings-in-two-chicago-suburbs/,,,,,,,Skipped: Not a PDF link
College of Urban Planning and Public Affairs,6,Box,News (ACF Field),CUED Study Cited In Nonprofit Quarterly Article (Field: intro_text_body),https://uofi.box.com/s/mawuw69t1bfhc8d5m6ecfty1kk2dl7lq,https://cuppa.uic.edu/news-stories/cued-study-cited-in-nonprofit-quarterly-article/,,,,,,,Skipped: Not a PDF link
College of Urban Planning and Public Affairs,6,Box,News (ACF Field),CUED Study Cited In Nonprofit Quarterly Article (Field: intro_text_body),https://uofi.app.box.com/s/mawuw69t1bfhc8d5m6ecfty1kk2dl7lq,https://cuppa.uic.edu/news-stories/cued-study-cited-in-nonprofit-quarterly-article/,,,,,,,Skipped: Not a PDF link
College of Urban Planning and Public Affairs,6,Box,News (ACF Field),UPP 506 Class Project Garners APA-IL Student Award (Field: intro_text_body),https://www.dropbox.com/s/c25tcclm1u6q5kb/DoltonCompPlan_Final.pdf?dl=0,https://cuppa.uic.edu/news-stories/upp-506-class-project-garners-apa-il-student-award/,,,,,,,Skipped: Not a PDF link
College of Urban Planning and Public Affairs,6,Box,News (ACF Field),CUPPA Magazine Available Now. Read the Fall 2019 Issue. (Field: intro_text_body),https://uofi.box.com/s/439fuunb5zz2wq2whqg6mycb1pmvghx8,https://cuppa.uic.edu/news-stories/cuppa-magazine-out-now-read-the-fall-2019-issue/,,,,,,,Skipped: Not a PDF link
College of Urban Planning and Public Affairs,6,Box,News (ACF Field),DPA Dispatch: Summer Issue (Field: intro_text_body),https://uofi.box.com/s/2duuxqds8kglg5wop4g6076dqbs9hj6k,https://cuppa.uic.edu/news-stories/dpa-dispatch-summer-issue/,,,,,,,Skipped: Not a PDF link
College of Urban Planning and Public Affairs,6,Box,News (ACF Field),"REPORT &#8211; Thinking Differently About IL Retirement Systems, A “Pension Crisis” Mentality Won’t Help (Field: intro_text_body)",https://uofi.box.com/s/gmtq4ydc5j8xz8ipwj1mpyg90j1vgkqh,https://cuppa.uic.edu/news-stories/report-thinking-differently-about-il-retirement-systems-a-pension-crisis-mentality-wont-help/,,,,,,,Skipped: Not a PDF link
College of Urban Planning and Public Affairs,6,Box,News (ACF Field),What&#8217;s UPP: 2018 in Review (Field: intro_text_body),https://uofi.box.com/s/oq7mzsxm2cz9tc75093aa6ttf8nw8l1s,https://cuppa.uic.edu/news-stories/whats-upp-2018-in-review/,,,,,,,Skipped: Not a PDF link
College of Urban Planning and Public Affairs,6,Box,News (ACF Field),CUPPA Urban Scholar Les Pollock Chronicles Trip Around Globe (Field: intro_text_body),https://uofi.box.com/s/8vfsgsv65y9139bav0b8bht80awkv396,https://cuppa.uic.edu/news-stories/cuppa-urban-scholar-les-pollock-chronicles-trip-around-globe/,,,,,,,Skipped: Not a PDF link
College of Urban Planning and Public Affairs,6,Box,Profile (ACF Field),"Wang, Jing (Field: cv_link)",https://uofi.box.com/s/9ow3gfhdu1ta1o2inyq3cncrj059ijte,https://cuppa.uic.edu/profiles/wang-jing/,,,,,,,Skipped: Not a PDF link
College of Urban Planning and Public Affairs,6,Box,Profile (ACF Field),"Liang, Jiaqi (Field: cv_link)",https://uofi.box.com/s/cur9b7hrvm0btw5a45tlqiv7ak9aixvc,https://cuppa.uic.edu/profiles/liang-jiaqi/,,,,,,,Skipped: Not a PDF link
College of Urban Planning and Public Affairs,6,Box,Page (ACF Field),UPP Admissions (Field: intro_text_body),https://uofi.app.box.com/s/51zi1j7s85ir4hashrxwvn5wptbaiyls,https://cuppa.uic.edu/academics/upp/upp-programs/upp-admissions/,,,,,,,Skipped: Not a PDF link
College of Urban Planning and Public Affairs,6,Box,Profile (ACF Field),"Craft, Andrea (Field: cv_link)",https://uofi.box.com/s/52zcl78x63i7qid2pt6f8syzndf9uapy,https://cuppa.uic.edu/profiles/craft-andrea/,,,,,,,Skipped: Not a PDF link
College of Urban Planning and Public Affairs,6,Box,Profile (ACF Field),"Pollock, Les (Field: cv_link)",https://uofi.box.com/s/isyex54s4rivw66xtv1thzq85r6gqcfm,https://cuppa.uic.edu/profiles/pollock-les/,,,,,,,Skipped: Not a PDF link
College of Urban Planning and Public Affairs,6,Box,Page (ACF Field),"MPA, MPP, and MSCA Capstone (Field: intro_text_body)",https://uofi.box.com/s/afnnnzgw919xykl4l6h8rpitt0u2tznz,https://cuppa.uic.edu/academics/pa/pa-programs/master-public-administration/mpa-capstone/,,,,,,,Skipped: Not a PDF link
College of Urban Planning and Public Affairs,6,Box,Profile (ACF Field),"Sutton, Stacey (Field: cv_link)",https://uofi.box.com/s/ueqzv9x93dldll4o0rknzs9plxhbrasd,https://cuppa.uic.edu/profiles/sutton-stacey/,,,,,,,Skipped: Not a PDF link
College of Urban Planning and Public Affairs,6,Box,Profile (ACF Field),"Snyder, Thomas (Field: cv_link)",https://uofi.box.com/s/sf2531cczp53eswa1cdssblc22muyfa0,https://cuppa.uic.edu/profiles/thomas-snyder/,,,,,,,Skipped: Not a PDF link
College of Urban Planning and Public Affairs,6,Box,Profile (ACF Field),"Siciliano, Michael D (Field: cv_link)",https://uofi.box.com/s/je6k01qroek3tb2s4szrk88ca5pui2tg,https://cuppa.uic.edu/profiles/siciliano-michael/,,,,,,,Skipped: Not a PDF link
College of Urban Planning and Public Affairs,6,Box,Profile (ACF Field),"Pagano, Michael A. (Field: cv_link)",https://uofi.box.com/s/47jpb0isj7kj4gylx7chov7m50yfrm2m,https://cuppa.uic.edu/profiles/pagano-michael/,,,,,,,Skipped: Not a PDF link
College of Urban Planning and Public Affairs,6,Box,Profile (ACF Field),"Metaxatos, Paul (Field: cv_link)",https://uofi.app.box.com/file/251903969350,https://cuppa.uic.edu/profiles/metaxatos-paul/,,,,,,,Skipped: Not a PDF link
College of Urban Planning and Public Affairs,6,Box,Profile (ACF Field),"Merriman, David (Field: cv_link)",https://uofi.box.com/s/myrzfymznkrxcey9bknz9jo2kkwg8se7,https://cuppa.uic.edu/profiles/merriman-david/,,,,,,,Skipped: Not a PDF link
College of Urban Planning and Public Affairs,6,Box,Profile (ACF Field),"Lewis, Amanda E (Field: cv_link)",https://uofi.box.com/s/mtaiwzf8sjrinccjnmmlhoo02hi2frm1,https://cuppa.uic.edu/profiles/lewis-amanda/,,,,,,,Skipped: Not a PDF link
College of Urban Planning and Public Affairs,6,Box,Profile (ACF Field),"Holbrook, Allyson (Field: cv_link)",https://uofi.box.com/s/13uhkdd1sevao47f0mdey9rbacjjd8yy,https://cuppa.uic.edu/profiles/holbrook-allyson-2/,,,,,,,Skipped: Not a PDF link
College of Urban Planning and Public Affairs,6,Box,Profile (ACF Field),"Hendrick, Rebecca (Field: cv_link)",https://uofi.box.com/s/p1ic3xaawu78q8gfmbvztn3przrhsn1i,https://cuppa.uic.edu/profiles/hendrick-rebecca/,,,,,,,Skipped: Not a PDF link
College of Urban Planning and Public Affairs,6,Box,Profile (ACF Field),"Drucker, Joshua (Field: cv_link)",https://uofi.box.com/s/mdxknmrpxxh2hyebt14w9dfi8924dzd6,https://cuppa.uic.edu/profiles/drucker-joshua/,,,,,,,Skipped: Not a PDF link
College of Urban Planning and Public Affairs,6,Box,Profile (ACF Field),"Bury, Edward Matthew (Field: cv_link)",https://uofi.box.com/s/vaa4uxgek2hsk6v01cy0jlyvvx459akw,https://cuppa.uic.edu/profiles/bury-edward/,,,,,,,Skipped: Not a PDF link
College of Urban Planning and Public Affairs,6,Box,Profile (ACF Field),"Al-Kodmany, Kheir (Field: cv_link)",https://uofi.box.com/s/afj6tik2bmabscsbl30t1m4f7y3b6kv1,https://cuppa.uic.edu/profiles/al-kodmany-kheir/,,,,,,,Skipped: Not a PDF link
College of Urban Planning and Public Affairs,6,Box,Profile (ACF Field),"Ai, Ning (Field: cv_link)",https://uofi.box.com/s/mb6oy3vb1ho8la7c4ejvbxpzeq8z6wh5,https://cuppa.uic.edu/profiles/ai-ning/,,,,,,,Skipped: Not a PDF link
College of Urban Planning and Public Affairs,6,PDF,News (ACF Field),GFRC Releases Report on Challenges States Face in Forecasting Long-Term Expenditures (Field: intro_text_body),https://gfrc.uic.edu/wp-content/uploads/sites/188/2024/05/Pew-GFRC-Report-Final-2024.05.30-FINAL.pdf,https://cuppa.uic.edu/news-stories/gfrc-releases-report-on-challenges-states-face-in-forecasting-long-term-expenditures/,2423281,62,True,False,Unknown,False,Missing /Lang in outline root; Missing /MarkInfo in outline root
College of Urban Planning and Public Affairs,6,PDF,Event (ACF Field),"The Workers Cottage: Past, Present, and Future (Field: description)",https://greatcities.uic.edu/wp-content/uploads/2024/02/UIC-annc-poster-REVISED-2-15-w-BORDER.pdf,https://cuppa.uic.edu/events/the-workers-cottage-past-present-and-future/,961044,1,True,True,Unknown,False,Missing /Lang in outline root; Missing /MarkInfo in outline root
College of Urban Planning and Public Affairs,6,PDF,News (ACF Field),Chicago’s New Nature: An Ecological Override Plan (Field: intro_text_body),https://www.dropbox.com/scl/fi/l7ykirfk6mnao7eak8o2f/Chicagos-New-Nature-An-Ecological-Override-Plan.pdf?rlkey=oyvhrno1a5otg1ssiko8kudju&amp;dl=0,https://cuppa.uic.edu/news-stories/chicagos-new-nature-an-ecological-override-plan/,,,,,,,Skipped: Not a PDF link
College of Urban Planning and Public Affairs,6,PDF,News (ACF Field),MUPP Alum Fassett Smith to Receive Marek Award (Field: intro_text_body),https://www.rtachicago.org/uploads/files/general/Region/Strategic-Plan/Final/TransitIsTheAnswer.pdf,https://cuppa.uic.edu/news-stories/mupp-alum-fassett-smith-to-receive-marek-award/,,,,,,,Download failed: 403 Client Error: Forbidden for url: https://www.rtachicago.org/uploads/files/general/Region/Strategic-Plan/Final/TransitIsTheAnswer.pdf
College of Urban Planning and Public Affairs,6,PDF,News (ACF Field),UPP 506 Class Project Garners APA-IL Student Award (Field: intro_text_body),https://www.dropbox.com/s/c25tcclm1u6q5kb/DoltonCompPlan_Final.pdf?dl=0,https://cuppa.uic.edu/news-stories/upp-506-class-project-garners-apa-il-student-award/,,,,,,,Skipped: Not a PDF link
College of Urban Planning and Public Affairs,6,PDF,News (ACF Field),New Survey Report Released By IPCE As Part Of CPD Consent Decree (Field: intro_text_body),https://cpdmonitoringteam.com/wp-content/uploads/2020/08/2020_08_26-Community-Survey-Filed.pdf,https://cuppa.uic.edu/news-stories/new-survey-report-released-by-ipce-as-part-of-cpd-consent-decree/,,,,,,,Download failed: 404 Client Error: Not Found for url: https://cpdmonitoringteam.com/wp-content/uploads/2020/08/2020_08_26-Community-Survey-Filed.pdf
College of Urban Planning and Public Affairs,6,PDF,News (ACF Field),How We Got Here: The State of Racial Justice Report Points Out the Data (Field: intro_text_body),https://irrpp.uic.edu/pdf/publications/IRRPP_TaleOfThreeCitiesStateOfRacialJusticeInChicagoReport.pdf,https://cuppa.uic.edu/news-stories/how-we-got-here-the-state-of-racial-justice-report-points-out-the-data/,,,,,,,Download failed: 404 Client Error: Not Found for url: https://irrpp.uic.edu/pdf/publications/IRRPP_TaleOfThreeCitiesStateOfRacialJusticeInChicagoReport.pdf
College of Urban Planning and Public Affairs,6,PDF,News (ACF Field),Traffic Increase Contrasts Population Declines In Illinois In UTC White Paper (Field: intro_text_body),https://utc.uic.edu/wp-content/uploads/Is-Traffic-Increasing-With-Declining-Population-White-Paper-1.pdf,https://cuppa.uic.edu/news-stories/traffic-increase-contrasts-population-declines-in-illinois-in-utc-white-paper/,,,,,,,Download failed: 404 Client Error: Not Found for url: https://utc.uic.edu/wp-content/uploads/Is-Traffic-Increasing-With-Declining-Population-White-Paper-1.pdf
College of Urban Planning and Public Affairs,6,PDF,News (ACF Field),Report By CUED&#8217;s Nik Theodore Cited In Earther Article (Field: intro_text_body),https://greatcities.uic.edu/wp-content/uploads/2017/11/After-the-Storm_Theodore_2017.pdf,https://cuppa.uic.edu/news-stories/report-by-cueds-nik-theodore-cited-in-earther-article/,1447934,20,True,False,Unknown,False,Missing /Lang in outline root; Missing /MarkInfo in outline root
College of Urban Planning and Public Affairs,6,PDF,Profile (ACF Field),"Albrecht, Kate (Field: cv_link)",https://static1.squarespace.com/static/615ba802332ed3226af7b580/t/65b150e1ff034a75d134c4ab/1706119393272/Kate+Albrecht_CV_012424.pdf,https://cuppa.uic.edu/profiles/albrecht-kate/,136895,7,True,False,Unknown,False,Missing /Lang in outline root; Missing /MarkInfo in outline root
College of Urban Planning and Public Affairs,6,PDF,News (ACF Field),UPP&#8217;s Kate Lowe Quoted On Starbucks Opposition In Bridgeport (Field: intro_text_body),https://now.dirxion.com/Gazette_Chicago/library/Gazette_Chicago_05_03_2019.pdf,https://cuppa.uic.edu/news-stories/upps-kate-lowe-quoted-on-starbucks-opposition-in-bridgeport/,,,,,,,Download failed: 404 Client Error: Not Found for url: https://now.dirxion.com/Gazette_Chicago/library/Gazette_Chicago_05_03_2019.pdf
College of Urban Planning and Public Affairs,6,PDF,News (ACF Field),P.S. Sriraj Quoted In Chicago Gazette (Field: intro_text_body),https://now.dirxion.com/Gazette_Chicago/library/Gazette_Chicago_04_01_2019.pdf,https://cuppa.uic.edu/news-stories/p-s-sriraj-quoted-in-chicago-gazette/,,,,,,,Download failed: 404 Client Error: Not Found for url: https://now.dirxion.com/Gazette_Chicago/library/Gazette_Chicago_04_01_2019.pdf
College of Urban Planning and Public Affairs,6,PDF,Event (ACF Field),CUPPA May Commencement 2019 (Field: description),http://commencement.red.uic.edu/wp-content/uploads/sites/264/2018/04/Bag-Policy.pdf,https://cuppa.uic.edu/events/cuppa-may-commencement-2019/,368511,1,True,False,Unknown,False,Missing /Lang in outline root; Missing /MarkInfo in outline root
College of Urban Planning and Public Affairs,6,PDF,Event (ACF Field),CUPPA May Commencement 2019 (Field: description),http://commencement.red.uic.edu/wp-content/uploads/sites/264/2018/04/Policy-for-the-Mandatory-Use-of-Metal-Detectors-002.pdf,https://cuppa.uic.edu/events/cuppa-may-commencement-2019/,181311,1,True,False,Unknown,False,Missing /Lang in outline root; Missing /MarkInfo in outline root
College of Urban Planning and Public Affairs,6,PDF,News (ACF Field),IPCE&#8217;s Community Round Tables and Report on Consent Decree Community Engagement (Field: intro_text_body),http://chicagopoliceconsentdecree.org/wp-content/uploads/2018/07/IPCE-Community-Engagement-Report.pdf,https://cuppa.uic.edu/news-stories/ipces-community-round-tables-and-report-on-consent-decree-community-engagement/,,,,,,,Download failed: 404 Client Error:  for url: https://www.chicagopoliceconsentdecree.org:443/wp-content/uploads/2018/07/IPCE-Community-Engagement-Report.pdf
College of Urban Planning and Public Affairs,6,PDF,News (ACF Field),"Professor Bob Chirinko presented &#8220;What Went Wrong? The Puerto Rican Debt Crisis and the ‘Treasury Put'&#8221;, at the 2018 Municipal Finance Conference (Field: intro_text_body)",https://www.brookings.edu/wp-content/uploads/2018/07/Chirinko-et-al..pdf,https://cuppa.uic.edu/news-stories/professor-bob-chirinko-presented-what-went-wrong-the-puerto-rican-debt-crisis-and-the-treasury-put-at-the-2018-municipal-finance-conference/,232925,54,True,True,Unknown,False,Missing /Lang in outline root; Missing /MarkInfo in outline root
College of Urban Planning and Public Affairs,6,PDF,News (ACF Field),Summer 2018 issue of the UTC Connector newsletter published (Field: intro_text_body),https://utc.uic.edu/wp-content/uploads/Connector-Summer-2018-final-one.pdf,https://cuppa.uic.edu/news-stories/summer-2018-issue-of-the-utc-connector-newsletter-published/,,,,,,,Download failed: 404 Client Error: Not Found for url: https://utc.uic.edu/wp-content/uploads/Connector-Summer-2018-final-one.pdf
College of Urban Planning and Public Affairs,6,PDF,News (ACF Field),The Great Cities Institute Releases Report with the Century Foundation’s Bernard L. Schwartz Rediscovering Government Initiative (Field: intro_text_body),https://greatcities.uic.edu/wp-content/uploads/2018/06/RevitalizingManufacturingChicago_Final.pdf,https://cuppa.uic.edu/news-stories/great-cities-releases-report-with-the-century-foundations-bernard-l-schwartz-rediscovering-government-initiative/,1588368,34,True,False,Unknown,False,Missing /Lang in outline root; Missing /MarkInfo in outline root
College of Urban Planning and Public Affairs,6,PDF,News (ACF Field),UPP Professor Moira Zellner Helps Tackle Calumet&#8217;s Flooding Problem (Field: intro_text_body),http://www.metroplanning.org/uploads/cms/documents/07_ZellnerLyons-SSMMA-2018.pdf,https://cuppa.uic.edu/news-stories/upp-professor-moira-zellner-helps-tackle-calumets-flooding-problem/,,,,,,,Download failed: 403 Client Error: Forbidden for url: http://www.metroplanning.org/uploads/cms/documents/07_ZellnerLyons-SSMMA-2018.pdf
College of Urban Planning and Public Affairs,6,PDF,Event (ACF Field),Reflections on the Kerner Report: Race and Equality in the 1960&#8217;s (Field: description),https://greatcities.uic.edu/wp-content/uploads/2018/01/Kerner-11x17-Flyer.pdf,https://cuppa.uic.edu/events/reflections-kerner-report-race-equality-1960s/,725838,1,True,False,Unknown,False,Missing /Lang in outline root; Missing /MarkInfo in outline root
College of Urban Planning and Public Affairs,6,PDF,News (ACF Field),Theodore&#8217;s Research on Construction Working Conditions Cited in Guardian (Field: intro_text_body),http://www.workersdefense.org/wp-content/uploads/2017/05/Build-a-Better-South-Full-Report-Digital.pdf,https://cuppa.uic.edu/news-stories/theodores-research-construction-working-conditions-cited-guardian/,,,,,,,Download failed: Exceeded 30 redirects.
